k,D,p,round,gamma
4,8,9,6,2.792976750687
4,8,9,7,2.774165621717
4,8,9,8,2.732718459379
4,8,9,9,2.680122972058
4,8,10,1,2.953741124971
4,8,10,2,2.834197457445
4,8,10,3,2.815674367360
4,8,10,4,2.806374313735
4,8,10,5,2.804235945973
4,8,10,6,2.796566042547
4,8,10,7,2.773407933047
4,8,10,8,2.733977953145
4,8,10,9,2.685825395770
4,8,10,10,2.679115444267
4,8,11,1,2.955028502397
4,8,11,2,2.833883097466
4,8,11,3,2.816316259464
4,8,11,4,2.808624565429
4,8,11,5,2.799510172149
4,8,11,6,2.798790225759
4,8,11,7,2.777565800227
4,8,11,8,2.739971694583
4,8,11,9,2.691511295507
4,8,11,10,2.687902693089
4,8,11,11,2.687902693089
4,8,12,1,5.557182026955
4,8,12,2,4.145817043963
4,8,12,3,0.792224853075
4,8,12,4,5.162735698722
4,8,12,5,1.350674258995
4,8,12,6,3.560744077280
4,8,12,7,4.717349201931
4,8,12,8,3.646798479246
4,8,12,9,0.336054243174
4,8,12,10,2.797779841942
4,8,12,11,1.427019123812
4,8,12,12,0.490676680872
5,6,2,1,0.373557015355
5,6,2,2,0.568334309026
5,6,3,1,0.326150928344
5,6,3,2,2.643685507182
5,6,3,3,3.695193735974
5,6,4,1,0.298377522017
5,6,4,2,0.455016346406
5,6,4,3,0.492515891763
5,6,4,4,0.544352630450
5,6,5,1,0.279614527526
5,6,5,2,0.429813691877
5,6,5,3,0.453459892456
5,6,5,4,0.483732260305
5,6,5,5,0.537341537183
5,6,6,1,0.266226357228
5,6,6,2,0.411659565325
5,6,6,3,0.430946328215
5,6,6,4,0.445014409585
5,6,6,5,0.474826047740
5,6,6,6,0.532525746136
5,6,7,1,0.255977689336
5,6,7,2,0.397700701928
5,6,7,3,0.415125052335
5,6,7,4,0.423051784980
5,6,7,5,0.435272748979
5,6,7,6,0.467955291791
5,6,7,7,0.529447727726
5,6,8,1,0.248324102883
5,6,8,2,0.387265732440
5,6,8,3,0.403259756269
5,6,8,4,0.407793733972
5,6,8,5,0.412307158933
5,6,8,6,0.426769489298
5,6,8,7,0.463125002699
5,6,8,8,0.528076996491
5,6,9,1,0.240847535543
5,6,9,2,0.377148207715
5,6,9,3,0.394770124688
5,6,9,4,0.398465596816
5,6,9,5,0.400522584279
5,6,9,6,0.406184846184
5,6,9,7,0.421722000791
5,6,9,8,0.466411381916
5,6,9,9,0.540090833906
5,6,10,1,0.247418475422
5,6,10,2,0.383946699174
5,6,10,3,0.399152654670
5,6,10,4,0.406525322821
5,6,10,5,0.407101049500
5,6,10,6,0.421913318684
5,6,10,7,0.446849564925
5,6,10,8,0.493504881051
5,6,10,9,0.541310118751
5,6,10,10,0.541814027659
5,6,11,1,0.240965829551
5,6,11,2,0.379794661104
5,6,11,3,0.397495094573
5,6,11,4,0.399188402406
5,6,11,5,0.401059187714
5,6,11,6,0.405621617967
5,6,11,7,0.418097176705
5,6,11,8,0.465805350974
5,6,11,9,0.534218919113
5,6,11,10,0.541141909332
5,6,11,11,0.540665421928
5,6,12,1,3.340538744810
5,6,12,2,0.043684900175
5,6,12,3,0.241154550991
5,6,12,4,0.493251840417
5,6,12,5,0.803824407276
5,6,12,6,5.775122208280
5,6,12,7,0.104092431797
5,6,12,8,2.345734433734
5,6,12,9,3.961958953695
5,6,12,10,3.142726181475
5,6,12,11,1.820109140641
5,6,12,12,1.820109140641
5,7,2,1,5.938941411099
5,7,2,2,3.661625507323
5,7,3,1,3.442252811795
5,7,3,2,3.596908108700
5,7,3,3,0.503365340594
5,7,4,1,0.275084853661
5,7,4,2,0.416283741190
5,7,4,3,0.448119022394
5,7,4,4,0.493321134161
5,7,5,1,0.257680510754
5,7,5,2,0.393068627640
5,7,5,3,0.412742148862
5,7,5,4,0.439305078426
5,7,5,5,0.486114049126
5,7,6,1,0.245245451350
5,7,6,2,0.376364352969
5,7,6,3,0.391991956841
5,7,6,4,0.403993218306
5,7,6,5,0.430862419872
5,7,6,6,0.481133129275
5,7,7,1,0.235738409458
5,7,7,2,0.363507674774
5,7,7,3,0.377506803110
5,7,7,4,0.383984823265
5,7,7,5,0.394478406311
5,7,7,6,0.424422891057
5,7,7,7,0.477826239258
5,7,8,1,0.228727826133
5,7,8,2,0.351983831983
5,7,8,3,0.366129955452
5,7,8,4,0.370398050892
5,7,8,5,0.372961506956
5,7,8,6,0.384735009734
5,7,8,7,0.421113855885
5,7,8,8,0.476711193306
5,7,9,1,0.224549288390
5,7,9,2,0.350096572071
5,7,9,3,0.364911437427
5,7,9,4,0.370338060058
