k,D,p,round,beta
5,7,7,1,0.220222433515
5,7,7,2,0.185251048293
5,7,7,3,0.179264887291
5,7,7,4,0.176721715688
5,7,7,5,0.169095783150
5,7,7,6,0.149638116260
5,7,7,7,0.083420973606
5,7,8,1,0.217641269569
5,7,8,2,0.182007732698
5,7,8,3,0.176703785329
5,7,8,4,0.175633381228
5,7,8,5,0.173063048337
5,7,8,6,0.164896737824
5,7,8,7,0.143762174055
5,7,8,8,0.077502913940
5,7,9,1,0.218893318918
5,7,9,2,0.182102478798
5,7,9,3,0.178923770401
5,7,9,4,0.178574885163
5,7,9,5,0.179084370710
